season,date,home,away,market,label,direction,line,actual,won,blended_hit_rate,n_total
1920,2019-08-18,Sheffield United,Crystal Palace,home_sot,Sheffield United shots on target,OVER,2.5,3.0,True,90.0,20
1920,2019-08-18,Sheffield United,Crystal Palace,away_sot,Crystal Palace shots on target,UNDER,5.5,4.0,True,75.0,20
1920,2019-08-18,Sheffield United,Crystal Palace,match_cards,Total match cards,UNDER,4.5,4.0,True,80.0,20
1920,2019-08-18,Chelsea,Leicester,home_goals,Chelsea to score,UNDER,2.5,1.0,True,90.0,20
1920,2019-08-18,Chelsea,Leicester,away_goals,Leicester to score,UNDER,2.5,1.0,True,80.0,20
1920,2019-08-18,Chelsea,Leicester,home_corners,Chelsea corners,OVER,4.5,4.0,False,75.0,20
1920,2019-08-18,Chelsea,Leicester,away_corners,Leicester corners,UNDER,6.5,5.0,True,80.0,20
1920,2019-08-18,Chelsea,Leicester,home_sot,Chelsea shots on target,UNDER,5.5,5.0,True,80.0,20
1920,2019-08-18,Chelsea,Leicester,away_sot,Leicester shots on target,OVER,2.5,3.0,True,80.0,20
1920,2019-08-18,Chelsea,Leicester,match_cards,Total match cards,UNDER,5.5,1.0,True,95.0,20
1920,2019-08-19,Wolves,Man United,home_goals,Wolves to score,UNDER,2.5,1.0,True,90.0,20
1920,2019-08-19,Wolves,Man United,away_goals,Man United to score,UNDER,2.5,1.0,True,90.0,20
1920,2019-08-19,Wolves,Man United,home_corners,Wolves corners,UNDER,6.5,4.0,True,75.0,20
1920,2019-08-19,Wolves,Man United,away_corners,Man United corners,UNDER,5.5,6.0,False,75.0,20
1920,2019-08-19,Wolves,Man United,home_sot,Wolves shots on target,UNDER,5.5,2.0,True,80.0,20
1920,2019-08-19,Wolves,Man United,away_sot,Man United shots on target,UNDER,5.5,2.0,True,80.0,20
1920,2019-08-19,Wolves,Man United,match_cards,Total match cards,OVER,1.5,4.0,True,95.0,20
1920,2019-08-23,Aston Villa,Everton,home_goals,Aston Villa to score,UNDER,2.5,2.0,True,95.0,20
1920,2019-08-23,Aston Villa,Everton,away_goals,Everton to score,UNDER,2.5,0.0,True,90.0,20
1920,2019-08-23,Aston Villa,Everton,home_corners,Aston Villa corners,OVER,3.5,0.0,False,75.0,20
1920,2019-08-23,Aston Villa,Everton,away_corners,Everton corners,OVER,3.5,6.0,True,75.0,20
1920,2019-08-23,Aston Villa,Everton,away_sot,Everton shots on target,OVER,1.5,1.0,False,80.0,20
1920,2019-08-23,Aston Villa,Everton,match_cards,Total match cards,UNDER,4.5,5.0,False,75.0,20
1920,2019-08-24,Norwich,Chelsea,home_goals,Norwich to score,OVER,0.5,2.0,True,80.0,20
1920,2019-08-24,Norwich,Chelsea,away_goals,Chelsea to score,OVER,0.5,3.0,True,75.0,20
1920,2019-08-24,Norwich,Chelsea,home_corners,Norwich corners,OVER,3.5,1.0,False,75.0,20
1920,2019-08-24,Norwich,Chelsea,away_corners,Chelsea corners,OVER,3.5,8.0,True,80.0,20
1920,2019-08-24,Norwich,Chelsea,home_sot,Norwich shots on target,OVER,2.5,5.0,True,90.0,20
1920,2019-08-24,Norwich,Chelsea,away_sot,Chelsea shots on target,OVER,2.5,8.0,True,90.0,20
1920,2019-08-24,Norwich,Chelsea,match_cards,Total match cards,UNDER,4.5,2.0,True,80.0,20
1920,2019-08-24,Man United,Crystal Palace,home_goals,Man United to score,UNDER,2.5,1.0,True,85.0,20
1920,2019-08-24,Man United,Crystal Palace,away_goals,Crystal Palace to score,OVER,0.5,2.0,True,75.0,20
1920,2019-08-24,Man United,Crystal Palace,home_corners,Man United corners,OVER,2.5,8.0,True,85.0,20
1920,2019-08-24,Man United,Crystal Palace,away_corners,Crystal Palace corners,UNDER,5.5,1.0,True,80.0,20
1920,2019-08-24,Man United,Crystal Palace,home_sot,Man United shots on target,OVER,2.5,3.0,True,85.0,20
1920,2019-08-24,Man United,Crystal Palace,away_sot,Crystal Palace shots on target,UNDER,7.5,3.0,True,85.0,20
1920,2019-08-24,Man United,Crystal Palace,match_cards,Total match cards,UNDER,4.5,6.0,False,80.0,20
1920,2019-08-24,Brighton,Southampton,home_goals,Brighton to score,UNDER,3.5,0.0,True,100.0,20
1920,2019-08-24,Brighton,Southampton,away_goals,Southampton to score,OVER,0.5,2.0,True,80.0,20
1920,2019-08-24,Brighton,Southampton,home_corners,Brighton corners,UNDER,5.5,8.0,False,75.0,20
1920,2019-08-24,Brighton,Southampton,away_corners,Southampton corners,OVER,3.5,5.0,True,95.0,20
1920,2019-08-24,Brighton,Southampton,home_sot,Brighton shots on target,UNDER,5.5,3.0,True,85.0,20
1920,2019-08-24,Brighton,Southampton,away_sot,Southampton shots on target,UNDER,5.5,4.0,True,75.0,20
1920,2019-08-24,Brighton,Southampton,match_cards,Total match cards,UNDER,4.5,5.0,False,75.0,20
1920,2019-08-24,Liverpool,Arsenal,home_goals,Liverpool to score,OVER,0.5,3.0,True,85.0,20
1920,2019-08-24,Liverpool,Arsenal,away_goals,Arsenal to score,UNDER,1.5,1.0,True,75.0,20
1920,2019-08-24,Liverpool,Arsenal,home_corners,Liverpool corners,OVER,3.5,6.0,True,80.0,20
1920,2019-08-24,Liverpool,Arsenal,away_corners,Arsenal corners,UNDER,6.5,4.0,True,80.0,20
1920,2019-08-24,Liverpool,Arsenal,home_sot,Liverpool shots on target,OVER,3.5,5.0,True,75.0,20
1920,2019-08-24,Liverpool,Arsenal,away_sot,Arsenal shots on target,UNDER,5.5,3.0,True,75.0,20
1920,2019-08-24,Liverpool,Arsenal,match_cards,Total match cards,OVER,1.5,2.0,True,85.0,20
1920,2019-08-24,Watford,West Ham,home_goals,Watford to score,UNDER,2.5,1.0,True,85.0,20
1920,2019-08-24,Watford,West Ham,away_goals,West Ham to score,OVER,0.5,3.0,True,85.0,20
1920,2019-08-24,Watford,West Ham,home_corners,Watford corners,OVER,3.5,8.0,True,75.0,20
1920,2019-08-24,Watford,West Ham,away_corners,West Ham corners,UNDER,5.5,7.0,False,75.0,20
1920,2019-08-24,Watford,West Ham,home_sot,Watford shots on target,OVER,2.5,3.0,True,85.0,20
1920,2019-08-24,Watford,West Ham,away_sot,West Ham shots on target,OVER,2.5,10.0,True,85.0,20
1920,2019-08-24,Watford,West Ham,match_cards,Total match cards,OVER,1.5,2.0,True,90.0,20
1920,2019-08-24,Sheffield United,Leicester,home_goals,Sheffield United to score,UNDER,2.5,1.0,True,95.0,20
1920,2019-08-24,Sheffield United,Leicester,away_goals,Leicester to score,UNDER,2.5,2.0,True,85.0,20
1920,2019-08-24,Sheffield United,Leicester,home_corners,Sheffield United corners,OVER,3.5,7.0,True,85.0,20
1920,2019-08-24,Sheffield United,Leicester,away_corners,Leicester corners,UNDER,6.5,4.0,True,75.0,20
1920,2019-08-24,Sheffield United,Leicester,home_sot,Sheffield United shots on target,UNDER,5.5,3.0,True,95.0,20
1920,2019-08-24,Sheffield United,Leicester,away_sot,Leicester shots on target,UNDER,5.5,2.0,True,80.0,20
1920,2019-08-24,Sheffield United,Leicester,match_cards,Total match cards,UNDER,4.5,1.0,True,75.0,20
1920,2019-08-25,Bournemouth,Man City,home_goals,Bournemouth to score,UNDER,2.5,1.0,True,85.0,20
